2024-11-16 17:40:15 - System Idle Process (PID: 0) - CPU: 1162.7%, MEM: 4.8108945593833975e-05%
2024-11-16 17:41:15 - System Idle Process (PID: 0) - CPU: 1148.1%, MEM: 4.8108945593833975e-05%
2024-11-16 17:42:16 - System Idle Process (PID: 0) - CPU: 1163.7%, MEM: 4.8108945593833975e-05%
2024-11-16 17:43:16 - System Idle Process (PID: 0) - CPU: 1171.0%, MEM: 4.8108945593833975e-05%
2024-11-16 17:44:16 - System Idle Process (PID: 0) - CPU: 1167.4%, MEM: 4.8108945593833975e-05%
2024-11-16 17:45:17 - System Idle Process (PID: 0) - CPU: 1168.5%, MEM: 4.8108945593833975e-05%
2024-11-16 17:46:17 - System Idle Process (PID: 0) - CPU: 1171.2%, MEM: 4.8108945593833975e-05%
2024-11-16 17:47:18 - System Idle Process (PID: 0) - CPU: 1154.1%, MEM: 4.8108945593833975e-05%
2024-11-16 17:48:18 - System Idle Process (PID: 0) - CPU: 1143.7%, MEM: 4.8108945593833975e-05%
2024-11-16 17:49:19 - System Idle Process (PID: 0) - CPU: 1131.3%, MEM: 4.8108945593833975e-05%
2024-11-16 17:50:19 - System Idle Process (PID: 0) - CPU: 1134.3%, MEM: 4.8108945593833975e-05%
2024-11-16 17:51:19 - System Idle Process (PID: 0) - CPU: 1104.1%, MEM: 4.8108945593833975e-05%
2024-11-17 00:53:46 - System Idle Process (PID: 0) - CPU: 1171.3%, MEM: 4.8108945593833975e-05%
2024-11-17 00:54:47 - System Idle Process (PID: 0) - CPU: 1165.9%, MEM: 4.8108945593833975e-05%
2024-11-17 00:55:47 - System Idle Process (PID: 0) - CPU: 1171.5%, MEM: 4.8108945593833975e-05%
2024-11-17 00:57:18 - System Idle Process (PID: 0) - CPU: 1175.8%, MEM: 4.8108945593833975e-05%
2024-11-17 00:58:18 - System Idle Process (PID: 0) - CPU: 1170.5%, MEM: 4.8108945593833975e-05%
2024-11-17 00:59:19 - System Idle Process (PID: 0) - CPU: 1164.4%, MEM: 4.8108945593833975e-05%
2024-11-17 01:00:19 - System Idle Process (PID: 0) - CPU: 1165.1%, MEM: 4.8108945593833975e-05%
2024-11-17 01:01:19 - System Idle Process (PID: 0) - CPU: 1166.3%, MEM: 4.8108945593833975e-05%
2024-11-17 01:02:20 - System Idle Process (PID: 0) - CPU: 1169.6%, MEM: 4.8108945593833975e-05%
2024-11-17 01:03:31 - System Idle Process (PID: 0) - CPU: 1168.8%, MEM: 4.8108945593833975e-05%
2024-11-17 01:09:29 - System Idle Process (PID: 0) - CPU: 1172.8%, MEM: 4.8108945593833975e-05%
2024-11-17 01:10:29 - System Idle Process (PID: 0) - CPU: 1169.2%, MEM: 4.8108945593833975e-05%
2024-11-17 01:13:36 - System Idle Process (PID: 0) - CPU: 1164.0%, MEM: 4.8108945593833975e-05%
2024-11-17 01:14:36 - System Idle Process (PID: 0) - CPU: 1166.2%, MEM: 4.8108945593833975e-05%
2024-11-17 01:16:29 - System Idle Process (PID: 0) - CPU: 1166.7%, MEM: 4.8108945593833975e-05%
2024-11-17 01:17:29 - System Idle Process (PID: 0) - CPU: 1169.0%, MEM: 4.8108945593833975e-05%
2024-11-17 01:18:30 - System Idle Process (PID: 0) - CPU: 1170.3%, MEM: 4.8108945593833975e-05%
2024-11-17 01:19:30 - System Idle Process (PID: 0) - CPU: 1175.6%, MEM: 4.8108945593833975e-05%
2024-11-17 02:20:04 - System Idle Process (PID: 0) - CPU: 1181.6%, MEM: 4.8108945593833975e-05%
2024-11-17 02:21:23 - System Idle Process (PID: 0) - CPU: 1168.0%, MEM: 4.8108945593833975e-05%
2024-11-17 02:22:24 - System Idle Process (PID: 0) - CPU: 1174.5%, MEM: 4.8108945593833975e-05%
2024-11-17 02:23:25 - System Idle Process (PID: 0) - CPU: 1169.8%, MEM: 4.8108945593833975e-05%
2024-11-17 02:26:15 - System Idle Process (PID: 0) - CPU: 1173.2%, MEM: 4.8108945593833975e-05%
2024-11-17 02:29:27 - System Idle Process (PID: 0) - CPU: 1176.2%, MEM: 4.8108945593833975e-05%
2024-11-17 02:52:14 - System Idle Process (PID: 0) - CPU: 1178.9%, MEM: 4.8108945593833975e-05%
